1888;Czego nie możesz robić kierując samochodem osobowym?;Ciągnąć za pojazdem osoby na sankach.;Korzystać z radia CB.;Przewozić dziecka w foteliku ochronnym na przednim siedzeniu.;A;;SPECJALISTYCZNY;2;B;B7
1905;Który z wymienionych sposobów przewożenia gaśnicy w samochodzie osobowym jest właściwy?;Gaśnica umieszczona jest na tylnej półce.;Gaśnica umieszczona jest luźno między siedzeniami.;Gaśnica zamocowana pod fotelem pasażera.;C;;SPECJALISTYCZNY;2;B;B7
2025;Jaki jest cel stosowania układu ASR w samochodzie osobowym?;Przeciwdziałanie poślizgowi podczas hamowania silnikiem.;Zapobieganie blokowaniu kół hamowanych.;Przeciwdziałanie poślizgowi kół podczas ruszania.;C;;SPECJALISTYCZNY;2;B;B7
2026;Jaki jest cel stosowania układu ESP w samochodzie osobowym?;Przeciwdziałanie poślizgowi kół podczas hamowania silnikiem.;Zapobieganie blokowaniu kół hamowanych.;Stabilizowanie ruchu pojazdu podczas jazdy po łuku drogi.;C;;SPECJALISTYCZNY;2;B;B7
2536;Kierujesz samochodem osobowym podczas ulewnego deszczu. Którą z wymienionych czynności należy wykonać po wjechaniu w koleinę wypełnioną wodą?;Płynnie zmniejszyć prędkość.;Zdecydowanie przyhamować.;Zdecydowanie przyspieszyć.;A;;SPECJALISTYCZNY;3;B;B4
2538;Która z wymienionych czynności może zwiększyć bezpieczeństwo podczas jazdy po zaśnieżonej drodze?;Hamowanie wyłącznie przy użyciu hamulca ręcznego.;Stosowanie opon zimowych.;Zdecydowane przyspieszanie.;B;;SPECJALISTYCZNY;3;B;B4
3353;Czego nie masz prawa robić, gdy kierujesz samochodem osobowym?;Przewozić osób w stanie nietrzeźwości.;Korzystać z telefonu wymagającego trzymania mikrofonu w ręku.;Używać tempomatu na obszarze zabudowanym.;B;;SPECJALISTYCZNY;2;B;B7
3429;Którą z wymienionych czynności należy wykonać, kierując samochodem osobowym w nocy podczas mgły?;Zmniejszyć prędkość.;Włączyć światła drogowe w celu polepszenia widoczności.;Jechać bardzo blisko poprzedzającego pojazdu, aby widzieć jego światła pozycyjne.;A;;SPECJALISTYCZNY;3;B;B4
3523;Kierujesz samochodem osobowym. Jak powinieneś postąpić w czasie przejazdu przez rozległą kałużę?;Zdecydowanie przyśpieszyć.;Gwałtownie przyhamować.;Płynnie zmniejszyć prędkość jazdy.;C;;SPECJALISTYCZNY;3;B;B4
3524;Kierujesz samochodem. Jak powinieneś się zachować w czasie wymijania pojazdu nocą?;Patrzeć prosto w reflektory pojazdu nadjeżdżającego z przeciwka.;Zmienić światła mijania na drogowe.;Patrzeć w prawo od źródła światła pojazdu nadjeżdżającego z przeciwka i wypatrywać tam ewentualnej przeszkody. ;C;;SPECJALISTYCZNY;3;B;B4
3625;Jaki odstęp należy zachować podczas wymijania samochodem osobowym innego pojazdu?;Bezpieczny, ale nie mniejszy niż 1,5 metra.;Bezpieczny, uzależniony od szerokości jezdni i warunków ruchu.;Bezpieczny, czyli zawsze taki sam.;B;;SPECJALISTYCZNY;3;B;B3
3627;Jaki odstęp należy zachować podczas omijania samochodem osobowym przeszkody na drodze?;Bezpieczny, ale nie mniejszy niż 0,8 metra.;Bezpieczny, czyli zawsze jednakowy.;Bezpieczny, uzależniony od szerokości jezdni i warunków ruchu.;C;;SPECJALISTYCZNY;3;B;B3
3634;Jak dwukrotne zwiększenie prędkości samochodu osobowego wpływa na długość jego drogi hamowania?;Zwiększa dwukrotnie długość drogi hamowania.;Zwiększa czterokrotnie długość drogi hamowania.;Nie powoduje zmiany długości drogi hamowania.;B;;SPECJALISTYCZNY;3;B;B3
3650;Jak duży odstęp od poprzedzającego pojazdu należy utrzymywać, kierując samochodem osobowym poza obszarem zabudowanym w tunelu o długości 600 metrów?;Nie mniejszy niż 50 metrów.;Nie mniejszy niż 40 metrów.;Nie mniejszy niż 30 metrów.;A;;SPECJALISTYCZNY;3;B;B3
3651;Który z czynników ma bezpośredni wpływ na długość drogi zatrzymania samochodu osobowego?;Czas reakcji kierującego pojazdem.;Masa pasażerów.;Masa pojazdu.;A;;SPECJALISTYCZNY;3;B;B3
3652;Który z czynników ma bezpośredni wpływ na długość drogi zatrzymania samochodu osobowego?;Masa pasażera.;Prędkość i stan nawierzchni.;Masa pojazdu.;B;;SPECJALISTYCZNY;3;B;B3
3723;Który z wymienionych elementów stanowi obowiązkowe wyposażenie każdego samochodu osobowego?;Trójkąt ostrzegawczy.;Apteczka.;Koło zapasowe.;A;;SPECJALISTYCZNY;3;B;B2
3724;Który z wymienionych elementów stanowi obowiązkowe wyposażenie każdego samochodu osobowego?;Apteczka.;Gaśnica.;Koło zapasowe.;B;;SPECJALISTYCZNY;3;B;B2
3759;Którego z wymienionych świateł wolno Ci używać, gdy kierujesz samochodem osobowym podczas mgły?;Świateł do jazdy dziennej.;Świateł przeciwmgłowych przednich.;Wyłącznie świateł drogowych.;B;;PODSTAWOWY;3;B;B4
3761;Którą z tych czynności masz obowiązek wykonać podczas wyprzedzania samochodem osobowym we mgle poza obszarem zabudowanym?;Dawać krótkotrwałe sygnały świetlne.;Dawać krótkotrwałe sygnały dźwiękowe.;Włączyć tylne światła przeciwmgłowe, niezależnie od stopnia ograniczenia widoczności.;B;;PODSTAWOWY;3;B;B4
3778;Jak należy zachować się podczas wymijania samochodem osobowym w nocy innego pojazdu?;Patrzeć prosto w światła pojazdu nadjeżdżającego z przeciwka.;Zmienić światła mijania na drogowe.;Patrzeć w prawo od źródła światła pojazdu nadjeżdżającego z przeciwka i wypatrywać tam ewentualnej przeszkody. ;C;;SPECJALISTYCZNY;3;B;B4
3781;Czy w każdym reflektorze samochodu osobowego wolno Ci zamiast żarówki halogenowej wykorzystywać lampę ksenonową?;Tak, w sytuacjach awaryjnych.;Nie, ponieważ może to doprowadzić do oślepienia innych kierujących.;Tak, jeżeli trzonek źródła światła pasuje do oprawki w reflektorze.;B;;SPECJALISTYCZNY;2;B;B7
3783;Która z wymienionych czynności jest dozwolona podczas kierowania samochodem osobowym?;Korzystanie z nawigacji.;Odpinanie pasa bezpieczeństwa.;Korzystanie z telefonu wymagającego trzymania słuchawki w ręku.;A;;SPECJALISTYCZNY;2;B;B7
3785;Która z wymienionych usterek, uniemożliwia bezpieczne używanie samochodu w ruchu drogowym?;Zanieczyszczony wkład filtra powietrza.;Przegrzewające się elektrody świec zapłonowych.;Przepalona żarówka tylnego lewego kierunkowskazu.;C;;SPECJALISTYCZNY;1;B;B9
3856;Jaki może być skutek zbyt słabego nacisku na pedał hamulca w samochodzie osobowym?;Wydłużenie drogi hamowania.;Zablokowanie kół.;Utrata sterowności.;A;;SPECJALISTYCZNY;2;B;B6
3857;Do czego może doprowadzić zbyt mocne hamowanie samochodu osobowego niewyposażonego w system ABS?;Do skrócenia o co najmniej połowę drogi hamowania.;Do utraty sterowności.;Do zniszczenia hamulców.;B;;SPECJALISTYCZNY;2;B;B6
3858;Który ze sposobów hamowania samochodu osobowego wyposażonego w system ABS jest najbardziej efektywny?;Pulsacyjne wciskanie pedału hamulca.;Szybkie i mocne wciśnięcie pedału hamulca.;Wciśnięcie pedału sprzęgła, a następnie pedału hamulca.;B;;SPECJALISTYCZNY;2;B;B6
3861;Jaki efekt może wystąpić, gdy podczas ruszania na wzniesieniu zbyt wcześnie zwolnisz dźwignię hamulca awaryjnego, w porównaniu ze zwolnieniem pedału sprzęgła?;Unieruchomienie silnika.;Stoczenie się pojazdu.;Gwałtowne ruszenie.;B;;SPECJALISTYCZNY;2;B;B6
3885;O czym ostrzega świecąca się na czerwono w czasie jazdy samochodem osobowym lampka kontrolna układu chłodzenia?;O zbyt wysokiej temperaturze płynu chłodniczego.;O zbyt niskiej temperaturze płynu chłodniczego.;O zbyt niskim poziomie płynu do spryskiwania szyby.;A;;SPECJALISTYCZNY;1;B;B9
3889;Która z wymienionych okoliczności może świadczyć o złym stanie technicznym samochodu osobowego?;Emisja bezbarwnych spalin.;Pozostawione na miejscu parkowania ślady wycieków płynów eksploatacyjnych.;Zaświecenie się na czerwono lampki kontrolnej ładowania akumulatora przed uruchomieniem silnika.;B;;SPECJALISTYCZNY;1;B;B9
3890;Który z wymienionych przypadków może świadczyć o złym stanie technicznym samochodu osobowego?;Emisja czarnych lub niebieskich gęstych spalin.;Emisja bezbarwnych spalin.;Zaświecenie się na czerwono lampki kontrolnej ciśnienia oleju silnikowego przed uruchomieniem silnika.;A;;SPECJALISTYCZNY;1;B;B9
3891;W którym z wymienionych przypadków, używanie samochodu osobowego nie zagraża bezpieczeństwu ruchu drogowego?;Nadmiernie zużyte klocki lub tarcze hamulcowe.;Uszkodzone przednie amortyzatory.;Krótkotrwałe użycie koła dojazdowego, gdy jedna z opon uległa uszkodzeniu.;C;;SPECJALISTYCZNY;1;B;B9
4160;Która z tych czynności zwiększy bezpieczeństwo jazdy, gdy kierujesz samochodem osobowym podczas mgły ograniczającej widoczność do 40 metrów?;Włączenie świateł drogowych.;Zmniejszenie odstępu od poprzedzającego pojazdu.;Włączenie świateł przeciwmgłowych tylnych.;C;;SPECJALISTYCZNY;3;B;B4
4364;Jaki wpływ ma prędkość jazdy na kąt widzenia kierującego samochodem osobowym?;Wraz ze wzrostem prędkości kąt widzenia zawęża się.;Wraz ze wzrostem prędkości kąt widzenia rozszerza się.;Nie ma żadnego wpływu.;A;;SPECJALISTYCZNY;2;B;B5
4367;Który z wymienionych czynników może ograniczyć pole widzenia kierującego samochodem osobowym?;Używanie klimatyzacji podczas opadów deszczu.;Lusterko wewnętrzne.;Oślepiające światła innych pojazdów jadących z przeciwka.;C;;SPECJALISTYCZNY;2;B;B5
4368;Który z wymienionych czynników może ograniczyć pole widzenia kierującego samochodem osobowym podczas jazdy nocą?;Zmniejszona prędkość.;Uszkodzony system ABS.;Niewłaściwie ustawione światła.;C;;SPECJALISTYCZNY;2;B;B5
4369;Który z wymienionych czynników ma wpływ na ograniczenie pola widzenia kierującego samochodem osobowym?;Mruganie oczami w czasie przerwy w jeździe.;15 minut odpoczynku po dwugodzinnej jeździe.;Kierowanie pojazdem w stanie nietrzeźwości.;C;;SPECJALISTYCZNY;2;B;B5
4370;Który z wymienionych czynników może powodować ograniczenie pola widzenia kierującego samochodem osobowym?;Zbyt nisko lub zbyt wysoko ustawiony fotel kierującego.;15 minut odpoczynku po dwugodzinnej jeździe.;Okulary przeciwsłoneczne używane w słoneczny dzień.;A;;SPECJALISTYCZNY;2;B;B5
4371;Jaki wpływ ma prędkość jazdy na kąt widzenia kierującego samochodem osobowym?;Wraz ze wzrostem prędkości kąt widzenia jest większy.;Wraz ze wzrostem prędkości kąt widzenia jest mniejszy.;Nie ma żadnego wpływu.;B;;SPECJALISTYCZNY;2;B;B5
4374;Jak powinieneś postąpić, aby rozpędzić samochód osobowy na płaskim odcinku drogi?;Wykorzystać maksymalne obroty silnika na każdym biegu.;Przyspieszyć do takiej prędkości na niższym biegu, by po włączeniu następnego biegu pojazd nie szarpał i nie dusił się.;W każdym przypadku zwiększyć biegi o dwa.;B;;SPECJALISTYCZNY;2;B;B6
4375;W jaki sposób wolno Ci przewozić rowery samochodem osobowym?;Umieszczone w uchwytach z tyłu pojazdu ograniczającym czytelność tablicy rejestracyjnej.;Umieszczone w uchwytach z tyłu pojazdu zasłaniającym jedno światło pojazdu.;Umieszczone w uchwytach zamontowanych na bagażniku dachowym.;C;;SPECJALISTYCZNY;2;B;B7
4495;Jaki jest cel stosowania systemu ABS w samochodzie osobowym?;Zapobieganie utracie stabilności i zapewnienie kierowalności pojazdu podczas jego hamowania.;Zapobieganie przed wpadnięciem pojazdu w poślizg - niezależnie od jego prędkości i warunków na drodze.;Ułatwianie pokonywania zakrętów.;A;;SPECJALISTYCZNY;2;B;B7
4534;Jak należy postąpić, podczas jazdy samochodem osobowym po drodze pokrytej śniegiem?;Unikać gwałtownych ruchów kierownicą.;Odłączyć system kontroli trakcji.;Na podjazdach zwiększyć prędkość.;A;;SPECJALISTYCZNY;3;B;B4
4592;Która z wymienionych awarii, uniemożliwia używanie samochodu osobowego w ruchu drogowym?;Niedziałające czujniki parkowania.;Niedziałająca klimatyzacja.;"Niedziałające światła hamowania ""stop"".";C;;SPECJALISTYCZNY;1;B;B9
6378;Co powinieneś widzieć w dobrze ustawionych lusterkach zewnętrznych, gdy kierujesz samochodem osobowym?;Tylko boki pojazdu.;Obszar za pojazdem i boki pojazdu.;Tylko sąsiedni pas ruchu.;B;;SPECJALISTYCZNY;2;B;B6
6463;Jadąc zimą spotykasz na poboczu sinego, półprzytomnego, wyziębionego człowieka. Jak należy mu pomóc?;Podać mu gorący napój.;Podać mu alkohol.;Wezwać zespół ratownictwa medycznego, zabrać go do samochodu, okryć i powoli ogrzewać.;C;;SPECJALISTYCZNY;3;B;B10
7451;Jakiej barwy chorągiewką wolno Ci oznaczyć ładunek wystający z tyłu samochodu osobowego?;Zieloną.;Żółtą.;Czerwoną.;C;;SPECJALISTYCZNY;2;B;B7
7454;Na której z tych dróg nie masz prawa holować samochodem osobowym innego pojazdu?;Na autostradzie.;Na drodze ekspresowej.;W strefie zamieszkania.;A;;SPECJALISTYCZNY;2;B;B7
7708;Który bieg jest właściwy do rozpoczęcia jazdy samochodem osobowym na suchej nawierzchni?;Drugi.;Pierwszy.;Ten, na którym jazda została zakończona.;B;;SPECJALISTYCZNY;2;B;B6
9012;Które wymienione czynniki zależne od kierującego pojazdem mają istotny wpływ na jego ostrość widzenia?;Temperatura i wilgotność powietrza.;Stan nawierzchni jezdni, pora dnia lub nocy.;Koncentracja uwagi, aktualne samopoczucie i stan zdrowia.;C;;SPECJALISTYCZNY;2;B;B5
9035;Jaki wpływ na pole widzenia kierującego pojazdem ma prędkość jazdy?;Wraz ze wzrostem prędkości zawęża się pole widzenia.;Wraz ze wzrostem prędkości rozszerza się pole widzenia.;Prędkość jazdy nie ma wpływu na pole widzenia kierującego.;A;;SPECJALISTYCZNY;2;B;B5
9058;Używanie pojazdu w sposób powodujący uciążliwości związane z nadmierną emisją spalin do środowiska lub nadmiernym hałasem jest:;zabronione w obszarze zabudowanym.;zabronione.;zabronione tylko w strefie zamieszkania.;B;;SPECJALISTYCZNY;1;B;B8
9065;W której z wymienionych niebezpiecznych sytuacji na drodze najlepiej sprawdzi się pojazd wyposażony w tzw. ASR, czyli układ zapobiegający poślizgowi kół napędzanych podczas ruszania?;W sytuacji zjeżdżania ze wzniesienia.;W sytuacji zjeżdżania ze wzniesienia drogą o dużym natężeniu ruchu.;W sytuacji nagłego przyspieszenia na mokrej nawierzchni.;C;;SPECJALISTYCZNY;1;B;B9
9067;W której z wymienionych niebezpiecznych sytuacji na drodze najlepiej sprawdzi się pojazd wyposażony w tzw. ASR, czyli układ zapobiegający poślizgowi kół napędzanych podczas ruszania?;W sytuacji zjeżdżania ze wzniesienia drogą o dużym natężeniu ruchu.;W sytuacji konieczności wjeżdżania na wzniesienie.;W sytuacji gwałtownego ruszania na śliskiej nawierzchni.;C;;SPECJALISTYCZNY;1;B;B9
9068;W której z wymienionych niebezpiecznych sytuacji na drodze najlepiej sprawdzi się pojazd wyposażony w tzw. ESP, czyli układ stabilizacji toru jazdy?;W sytuacji pokonywania ostrego zakrętu i trudności z utrzymaniem oczekiwanego toru jazdy.;W sytuacji konieczności nagłego przyspieszenie na drodze gruntowej.;W sytuacji konieczności utrzymania stałej prędkości.;A;;SPECJALISTYCZNY;1;B;B9
9069;W której z wymienionych niebezpiecznych sytuacji na drodze najlepiej sprawdzi się pojazd wyposażony w tzw. ESP, czyli układ stabilizacji toru jazdy?;W sytuacji konieczności hamowania na drodze gruntowej.;W sytuacji konieczności ostrego hamowania podczas zmiany pasa ruchu.;W sytuacji gwałtownego ruszania na śliskiej nawierzchni.;B;;SPECJALISTYCZNY;1;B;B9
9070;W której z wymienionych niebezpiecznych sytuacji na drodze najlepiej sprawdzi się pojazd wyposażony w tzw. ESP, czyli układ stabilizacji toru jazdy?;W sytuacji konieczności utrzymania stałej prędkości.;W sytuacji konieczności wjeżdżania na wzniesienie.;W sytuacji konieczności pokonywania kilku następujących po sobie zakrętów.;C;;SPECJALISTYCZNY;1;B;B9
10043;W którym z wymienionych miejsc na drodze, możesz poruszać się samochodem osobowym z prędkością 60 km/h w godzinach od 8.00 do 20.00?;Strefa zamieszkania.;Obszar zabudowany.;Obszar niezabudowany.;C;;SPECJALISTYCZNY;3;B;B1
10081;Czy dopuszczalne jest holowanie za pomocą połączenia sztywnego pojazdu o niesprawnym układzie kierowniczym?;Nie.;Tak, ale tylko w obszarze niezabudowanym.;Tak, ale tylko w obszarze zabudowanym.;A;;SPECJALISTYCZNY;2;B;B7
10109;Czy podczas holowania motocykla powinny być sprawne w nim dwa układy hamulcowe?;Tak, ale tylko przy prędkości powyżej 20 km/h.;Tak.;Nie, wystarczy jeden.;B;;SPECJALISTYCZNY;2;B;B7
